30-3-2007 17:12;;;;

Landbouwer;gerrit;;;



Delta;Prijs;Product;Tendens;Bedrijf 1 Ronde 1
Delta;Prijs;Uitgaven;Tendens;Bedrijf 1 Ronde 1
Delta;Hoeveelheid;Product;Tendens;bedrijf 1 ronde 1
Delta;Hoeveelheid;Uitgaven;Tendens;bedrijf 1 ronde 1





 ;;;;
Alea Rendement;     Bedrijf 1 Ronde 1;;;;;;;;;;;

Product;Categorie;Basis;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016
Bio zomertarwe;Gewas hoofdproducten;0.26;0.26;0.26;0.26;0.26;0.26;0.26;0.26;0.26;0.26;0.26
Bio knolselderij;Gewas hoofdproducten;0.24;0.24;0.24;0.24;0.24;0.24;0.24;0.24;0.24;0.24;0.24
Bio winterpeen;Gewas hoofdproducten;0.27;0.27;0.27;0.27;0.27;0.27;0.27;0.27;0.27;0.27;0.27
Bio zaaiuien;Gewas hoofdproducten;0.28;0.28;0.28;0.28;0.28;0.28;0.28;0.28;0.28;0.28;0.28
Bio luzerne;Gewas hoofdproducten;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08
Bio suikerbieten;Gewas hoofdproducten;0.07;0.07;0.07;0.07;0.07;0.07;0.07;0.07;0.07;0.07;0.07
Bio Kroten;Gewas hoofdproducten;0.15;0.15;0.15;0.15;0.15;0.15;0.15;0.15;0.15;0.15;0.15
Bio witlofwortel;Gewas hoofdproducten;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05
Blauwmaanzaad;Gewas hoofdproducten;1;1;1;1;1;1;1;1;1;1;1
Tulpen;Gewas hoofdproducten;30;30;30;30;30;30;30;30;30;30;30
Braakland;Gewas hoofdproducten; ;0;0;0;0;0;0;0;0;0;0
Braakland regio 2;Gewas hoofdproducten; ;0;0;0;0;0;0;0;0;0;0
Bruine bonen;Gewas hoofdproducten;0.7;0.7;0.7;0.7;0.7;0.7;0.7;0.7;0.7;0.7;0.7
Cichorei;Gewas hoofdproducten;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05
Consumptieaardappelrassen hoge norm;Gewas hoofdproducten;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08
Consumptieaardappelrassen overig;Gewas hoofdproducten;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08
Consumptieaardappelrassen lage norm;Gewas hoofdproducten;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08
Conservenerwten;Gewas hoofdproducten;0.25;0.25;0.25;0.25;0.25;0.25;0.25;0.25;0.25;0.25;0.25
Zetmeelaardappelen;Gewas hoofdproducten;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05
Geen;Gewas hoofdproducten; ;0;0;0;0;0;0;0;0;0;0
Grasland met beweiden;Gewas hoofdproducten;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08
Grasland met volledig maaien;Gewas hoofdproducten;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08
Graszaad Engels raaigras 1e jaars;Gewas hoofdproducten;0.79;0.79;0.79;0.79;0.79;0.79;0.79;0.79;0.79;0.79;0.79
Graszaad roodzwenkgras 1e jaars;Gewas hoofdproducten;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9
Graszaad rietzwenkgras;Gewas hoofdproducten;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6
Graszaad veldbeemd;Gewas hoofdproducten;1.26;1.26;1.26;1.26;1.26;1.26;1.26;1.26;1.26;1.26;1.26
Graszaad westerwolds;Gewas hoofdproducten;0.65;0.65;0.65;0.65;0.65;0.65;0.65;0.65;0.65;0.65;0.65
Groene erwten;Gewas hoofdproducten;0.15;0.15;0.15;0.15;0.15;0.15;0.15;0.15;0.15;0.15;0.15
haver;Gewas hoofdproducten;0.12;0.12;0.12;0.12;0.12;0.12;0.12;0.12;0.12;0.12;0.12
Kapucijners;Gewas hoofdproducten;0.15;0.15;0.15;0.15;0.15;0.15;0.15;0.15;0.15;0.15;0.15
Karwijzaad;Gewas hoofdproducten;1.05;1.05;1.05;1.05;1.05;1.05;1.05;1.05;1.05;1.05;1.05
Knolselderij;Gewas hoofdproducten;0.07;0.07;0.07;0.07;0.07;0.07;0.07;0.07;0.07;0.07;0.07
Koolzaad;Gewas hoofdproducten;0.21;0.21;0.21;0.21;0.21;0.21;0.21;0.21;0.21;0.21;0.21
Korrelmaïs;Gewas hoofdproducten;0.13;0.13;0.13;0.13;0.13;0.13;0.13;0.13;0.13;0.13;0.13
Kunstweide;Gewas hoofdproducten;0.07;0.07;0.07;0.07;0.07;0.07;0.07;0.07;0.07;0.07;0.07
Luzerne;Gewas hoofdproducten;0.07;0.07;0.07;0.07;0.07;0.07;0.07;0.07;0.07;0.07;0.07
Natuur faunarand;Gewas hoofdproducten;2;2;2;2;2;2;2;2;2;2;2
Natuur akkerflora;Gewas hoofdproducten;570;570;570;570;570;570;570;570;570;570;570
Akkerbouw overig;Gewas hoofdproducten;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5
Ov. tuinbouw;Gewas hoofdproducten;7;7;7;7;7;7;7;7;7;7;7
Ui en zaaiui en overig;Gewas hoofdproducten;0.15;0.15;0.15;0.15;0.15;0.15;0.15;0.15;0.15;0.15;0.15
Winterui en 2e jaars plantui;Gewas hoofdproducten;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08
Pootaardappelrassen hoge norm;Gewas hoofdproducten;0.19;0.19;0.19;0.19;0.19;0.19;0.19;0.19;0.19;0.19;0.19
Pootaardappelrassen overig;Gewas hoofdproducten;0.19;0.19;0.19;0.19;0.19;0.19;0.19;0.19;0.19;0.19;0.19
Pootaardappelrassen lage norm;Gewas hoofdproducten;0.19;0.19;0.19;0.19;0.19;0.19;0.19;0.19;0.19;0.19;0.19
Prei;Gewas hoofdproducten;0.35;0.35;0.35;0.35;0.35;0.35;0.35;0.35;0.35;0.35;0.35
winterrogge;Gewas hoofdproducten;0.12;0.12;0.12;0.12;0.12;0.12;0.12;0.12;0.12;0.12;0.12
Schorseneer;Gewas hoofdproducten;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2
Snijmaïs bedrijven met derogatie;Gewas hoofdproducten;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1
Snijmaïs bedrijven zonder derogatie;Gewas hoofdproducten;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1
Spinazie;Gewas hoofdproducten;0.06;0.06;0.06;0.06;0.06;0.06;0.06;0.06;0.06;0.06;0.06
Spruitkool;Gewas hoofdproducten;0.35;0.35;0.35;0.35;0.35;0.35;0.35;0.35;0.35;0.35;0.35
Stam en stokboon vers;Gewas hoofdproducten;0.13;0.13;0.13;0.13;0.13;0.13;0.13;0.13;0.13;0.13;0.13
Suikerbieten;Gewas hoofdproducten;0.06;0.06;0.06;0.06;0.06;0.06;0.06;0.06;0.06;0.06;0.06
Triticale;Gewas hoofdproducten;0.12;0.12;0.12;0.12;0.12;0.12;0.12;0.12;0.12;0.12;0.12
Tuinbonen;Gewas hoofdproducten;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29
Valeriaan;Gewas hoofdproducten;0.18;0.18;0.18;0.18;0.18;0.18;0.18;0.18;0.18;0.18;0.18
Veld en tuinbonen vers en rijp zaad;Gewas hoofdproducten;0.13;0.13;0.13;0.13;0.13;0.13;0.13;0.13;0.13;0.13;0.13
Vlas;Gewas hoofdproducten;0.24;0.24;0.24;0.24;0.24;0.24;0.24;0.24;0.24;0.24;0.24
Voederbieten;Gewas hoofdproducten;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02
Waspeen;Gewas hoofdproducten;0.07;0.07;0.07;0.07;0.07;0.07;0.07;0.07;0.07;0.07;0.07
Wintergerst;Gewas hoofdproducten;0.12;0.12;0.12;0.12;0.12;0.12;0.12;0.12;0.12;0.12;0.12
Winterpeen;Gewas hoofdproducten;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08
Wintertarwe;Gewas hoofdproducten;0.13;0.13;0.13;0.13;0.13;0.13;0.13;0.13;0.13;0.13;0.13
Witlof;Gewas hoofdproducten;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03
Witte bonen;Gewas hoofdproducten;0.7;0.7;0.7;0.7;0.7;0.7;0.7;0.7;0.7;0.7;0.7
Witte kool;Gewas hoofdproducten;0.04;0.04;0.04;0.04;0.04;0.04;0.04;0.04;0.04;0.04;0.04
Zaaikl. verhuurd €1000;Gewas hoofdproducten;1;1;1;1;1;1;1;1;1;1;1
Zaaikl. verhuurd €2000;Gewas hoofdproducten;2;2;2;2;2;2;2;2;2;2;2
Zaaikl. verhuurd €3000;Gewas hoofdproducten;3;3;3;3;3;3;3;3;3;3;3
zomergerst;Gewas hoofdproducten;0.12;0.11;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1
zomertarwe;Gewas hoofdproducten;0.13;0.13;0.13;0.13;0.13;0.13;0.13;0.13;0.13;0.13;0.13
Bio wintergerst;Gewas bijproducten;0.06;0.06;0.06;0.06;0.06;0.06;0.06;0.06;0.06;0.06;0.06
Bio zomergerst;Gewas bijproducten;0.06;0.06;0.06;0.06;0.06;0.06;0.06;0.06;0.06;0.06;0.06
Bio haver;Gewas bijproducten;0.06;0.06;0.06;0.06;0.06;0.06;0.06;0.06;0.06;0.06;0.06
Bio wintertarwe;Gewas bijproducten;0.06;0.06;0.06;0.06;0.06;0.06;0.06;0.06;0.06;0.06;0.06
Bio zomertarwe;Gewas bijproducten;0.06;0.06;0.06;0.06;0.06;0.06;0.06;0.06;0.06;0.06;0.06
Graszaad, Engelsraaigras, 1e jaars;Gewas bijproducten;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02
Graszaad, roodzwenkgras, 1e jaars;Gewas bijproducten;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02
Graszaad, rietzwenkgras;Gewas bijproducten; ;0;0;0;0;0;0;0;0;0;0
Graszaad, veldbeemd;Gewas bijproducten;0.04;0.04;0.04;0.04;0.04;0.04;0.04;0.04;0.04;0.04;0.04
Graszaad, westerwolds;Gewas bijproducten;0.04;0.04;0.04;0.04;0.04;0.04;0.04;0.04;0.04;0.04;0.04
Groene erwten;Gewas bijproducten;0.06;0.06;0.06;0.06;0.06;0.06;0.06;0.06;0.06;0.06;0.06
Haver;Gewas bijproducten;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05
Natuur akkerflora;Gewas bijproducten;575;575;575;575;575;575;575;575;575;575;575
Winterrogge;Gewas bijproducten;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05
Triticale;Gewas bijproducten;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05
Vlas;Gewas bijproducten;0.79;0.79;0.79;0.79;0.79;0.79;0.79;0.79;0.79;0.79;0.79
Wintergerst;Gewas bijproducten;0.06;0.06;0.06;0.06;0.06;0.06;0.06;0.06;0.06;0.06;0.06
Wintertarwe;Gewas bijproducten;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05
zomergerst;Gewas bijproducten;0.06;0.06;0.06;0.06;0.06;0.06;0.06;0.06;0.06;0.06;0.06
zomertarwe;Gewas bijproducten;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05
Asperges;Gewasgebonden premies;75;75;75;75;75;75;75;75;75;75;75
Bio cons. aardappelen;Gewasgebonden premies;75;75;75;75;75;75;75;75;75;75;75
Bio pootaardappelen;Gewasgebonden premies;75;75;75;75;75;75;75;75;75;75;75
Bio bruine bonen;Gewasgebonden premies;75;75;75;75;75;75;75;75;75;75;75
Bio stamslabonen;Gewasgebonden premies;75;75;75;75;75;75;75;75;75;75;75
Bio tuinbonen;Gewasgebonden premies;75;75;75;75;75;75;75;75;75;75;75
Bio doperwten;Gewasgebonden premies;75;75;75;75;75;75;75;75;75;75;75
Bio wintergerst;Gewasgebonden premies;75;75;75;75;75;75;75;75;75;75;75
Bio zomergerst;Gewasgebonden premies;75;75;75;75;75;75;75;75;75;75;75
Bio haver;Gewasgebonden premies;75;75;75;75;75;75;75;75;75;75;75
Bio wintertarwe;Gewasgebonden premies;75;75;75;75;75;75;75;75;75;75;75
Bio zomertarwe;Gewasgebonden premies;75;75;75;75;75;75;75;75;75;75;75
Bio knolselderij;Gewasgebonden premies;75;75;75;75;75;75;75;75;75;75;75
Bio winterpeen;Gewasgebonden premies;75;75;75;75;75;75;75;75;75;75;75
Bio zaaiuien;Gewasgebonden premies;75;75;75;75;75;75;75;75;75;75;75
Bio luzerne;Gewasgebonden premies;75;75;75;75;75;75;75;75;75;75;75
Bio suikerbieten;Gewasgebonden premies;75;75;75;75;75;75;75;75;75;75;75
Bio kroten;Gewasgebonden premies;75;75;75;75;75;75;75;75;75;75;75
Bio witlofwortel;Gewasgebonden premies;75;75;75;75;75;75;75;75;75;75;75
Blauwmaanzaad;Gewasgebonden premies;75;75;75;75;75;75;75;75;75;75;75
Tulpen;Gewasgebonden premies;75;75;75;75;75;75;75;75;75;75;75
Braakland;Gewasgebonden premies;75;75;75;75;75;75;75;75;75;75;75
Braakland regio 2;Gewasgebonden premies;75;75;75;75;75;75;75;75;75;75;75
Bruine bonen;Gewasgebonden premies;75;75;75;75;75;75;75;75;75;75;75
Cichorei;Gewasgebonden premies;75;75;75;75;75;75;75;75;75;75;75
Consumptieaardappelrassen hoge norm;Gewasgebonden premies;75;75;75;75;75;75;75;75;75;75;75
Consumptieaardappelrassen overig;Gewasgebonden premies;75;75;75;75;75;75;75;75;75;75;75
Consumptieaardappelrassen lage norm;Gewasgebonden premies;75;75;75;75;75;75;75;75;75;75;75
Conservenerwten;Gewasgebonden premies;75;75;75;75;75;75;75;75;75;75;75
Zetmeelaardappelen;Gewasgebonden premies;75;75;75;75;75;75;75;75;75;75;75
Geen;Gewasgebonden premies;75;75;75;75;75;75;75;75;75;75;75
Grasland met beweiden;Gewasgebonden premies;75;75;75;75;75;75;75;75;75;75;75
Grasland met volledig maaien;Gewasgebonden premies;75;75;75;75;75;75;75;75;75;75;75
Graszaad. Engels raaigras. 1e jaars;Gewasgebonden premies;75;75;75;75;75;75;75;75;75;75;75
Graszaad. roodzwenkgras. 1e jaars;Gewasgebonden premies;75;75;75;75;75;75;75;75;75;75;75
Graszaad. rietzwenkgras;Gewasgebonden premies;75;75;75;75;75;75;75;75;75;75;75
Graszaad. veldbeemd;Gewasgebonden premies;75;75;75;75;75;75;75;75;75;75;75
Graszaad. westerwolds;Gewasgebonden premies;75;75;75;75;75;75;75;75;75;75;75
Groene erwten;Gewasgebonden premies;75;75;75;75;75;75;75;75;75;75;75
Haver;Gewasgebonden premies;75;75;75;75;75;75;75;75;75;75;75
Kapucijners;Gewasgebonden premies;75;75;75;75;75;75;75;75;75;75;75
Karwijzaad;Gewasgebonden premies;75;75;75;75;75;75;75;75;75;75;75
Knolselderij;Gewasgebonden premies;75;75;75;75;75;75;75;75;75;75;75
Koolzaad;Gewasgebonden premies;75;75;75;75;75;75;75;75;75;75;75
Korrelmaïs;Gewasgebonden premies;75;75;75;75;75;75;75;75;75;75;75
Kunstweide;Gewasgebonden premies;75;75;75;75;75;75;75;75;75;75;75
Luzerne;Gewasgebonden premies;75;75;75;75;75;75;75;75;75;75;75
Natuur. faunarand;Gewasgebonden premies;75;75;75;75;75;75;75;75;75;75;75
Natuur. akkerflora;Gewasgebonden premies;75;75;75;75;75;75;75;75;75;75;75
Akkerbouw overig;Gewasgebonden premies;75;75;75;75;75;75;75;75;75;75;75
Ov. tuinbouw;Gewasgebonden premies;75;75;75;75;75;75;75;75;75;75;75
Ui. zaaiui. overig;Gewasgebonden premies;75;75;75;75;75;75;75;75;75;75;75
Winterui. 2e jaars plantui;Gewasgebonden premies;75;75;75;75;75;75;75;75;75;75;75
Pootaardappelrassen hoge norm;Gewasgebonden premies;75;75;75;75;75;75;75;75;75;75;75
Pootaardappelrassen overig;Gewasgebonden premies;75;75;75;75;75;75;75;75;75;75;75
Pootaardappelrassen lage norm;Gewasgebonden premies;75;75;75;75;75;75;75;75;75;75;75
Prei;Gewasgebonden premies;75;75;75;75;75;75;75;75;75;75;75
Winterrogge;Gewasgebonden premies;75;75;75;75;75;75;75;75;75;75;75
Schorseneer;Gewasgebonden premies;75;75;75;75;75;75;75;75;75;75;75
Snijmaïs. bedrijven met derogatie;Gewasgebonden premies;75;75;75;75;75;75;75;75;75;75;75
Snijmaïs. bedrijven zonder derogatie;Gewasgebonden premies;75;75;75;75;75;75;75;75;75;75;75
Spinazie;Gewasgebonden premies;75;75;75;75;75;75;75;75;75;75;75
Spruitkool;Gewasgebonden premies;75;75;75;75;75;75;75;75;75;75;75
Stam-. stokboon. vers;Gewasgebonden premies;75;75;75;75;75;75;75;75;75;75;75
Suikerbieten;Gewasgebonden premies;75;75;75;75;75;75;75;75;75;75;75
Triticale;Gewasgebonden premies;75;75;75;75;75;75;75;75;75;75;75
Tuinbonen;Gewasgebonden premies;75;75;75;75;75;75;75;75;75;75;75
Valeriaan;Gewasgebonden premies;75;75;75;75;75;75;75;75;75;75;75
Veld- en tuinbonen. vers + rijp zaad;Gewasgebonden premies;75;75;75;75;75;75;75;75;75;75;75
Vlas;Gewasgebonden premies;75;75;75;75;75;75;75;75;75;75;75
Voederbieten;Gewasgebonden premies;75;75;75;75;75;75;75;75;75;75;75
Waspeen;Gewasgebonden premies;75;75;75;75;75;75;75;75;75;75;75
Wintergerst;Gewasgebonden premies;75;75;75;75;75;75;75;75;75;75;75
Winterpeen;Gewasgebonden premies;75;75;75;75;75;75;75;75;75;75;75
Wintertarwe;Gewasgebonden premies;75;75;75;75;75;75;75;75;75;75;75
Witlof;Gewasgebonden premies;75;75;75;75;75;75;75;75;75;75;75
Witte bonen;Gewasgebonden premies;75;75;75;75;75;75;75;75;75;75;75
Witte kool;Gewasgebonden premies;75;75;75;75;75;75;75;75;75;75;75
Zaaikl.verhuurd. €1000;Gewasgebonden premies;75;75;75;75;75;75;75;75;75;75;75
Zaaikl.verhuurd. €2000;Gewasgebonden premies;75;75;75;75;75;75;75;75;75;75;75
Zaaikl.verhuurd. €3000;Gewasgebonden premies;75;75;75;75;75;75;75;75;75;75;75
Zomergerst;Gewasgebonden premies;75;75;75;75;75;75;75;75;75;75;75
Zomertarwe;Gewasgebonden premies;75;75;75;75;75;75;75;75;75;75;75
Asperges;Gewas overige opbrengsten;100;100;100;100;100;100;100;100;100;100;100
Bio cons. aardappelen;Gewas overige opbrengsten;100;100;100;100;100;100;100;100;100;100;100
Bio pootaardappelen;Gewas overige opbrengsten;100;100;100;100;100;100;100;100;100;100;100
Bio bruine bonen;Gewas overige opbrengsten;100;100;100;100;100;100;100;100;100;100;100
Bio stamslabonen;Gewas overige opbrengsten;100;100;100;100;100;100;100;100;100;100;100
Bio tuinbonen;Gewas overige opbrengsten;100;100;100;100;100;100;100;100;100;100;100
Bio doperwten;Gewas overige opbrengsten;100;100;100;100;100;100;100;100;100;100;100
Bio wintergerst;Gewas overige opbrengsten;100;100;100;100;100;100;100;100;100;100;100
Bio zomergerst;Gewas overige opbrengsten;100;100;100;100;100;100;100;100;100;100;100
Bio haver;Gewas overige opbrengsten;100;100;100;100;100;100;100;100;100;100;100
Bio wintertarwe;Gewas overige opbrengsten;100;100;100;100;100;100;100;100;100;100;100
Bio zomertarwe;Gewas overige opbrengsten;100;100;100;100;100;100;100;100;100;100;100
Bio knolselderij;Gewas overige opbrengsten;100;100;100;100;100;100;100;100;100;100;100
Bio winterpeen;Gewas overige opbrengsten;100;100;100;100;100;100;100;100;100;100;100
Bio zaaiuien;Gewas overige opbrengsten;100;100;100;100;100;100;100;100;100;100;100
Bio luzerne;Gewas overige opbrengsten;100;100;100;100;100;100;100;100;100;100;100
Bio suikerbieten;Gewas overige opbrengsten;100;100;100;100;100;100;100;100;100;100;100
Bio kroten;Gewas overige opbrengsten;100;100;100;100;100;100;100;100;100;100;100
Bio witlofwortel;Gewas overige opbrengsten;100;100;100;100;100;100;100;100;100;100;100
Blauwmaanzaad;Gewas overige opbrengsten;100;100;100;100;100;100;100;100;100;100;100
Tulpen;Gewas overige opbrengsten;100;100;100;100;100;100;100;100;100;100;100
Braakland;Gewas overige opbrengsten;100;100;100;100;100;100;100;100;100;100;100
Braakland regio 2;Gewas overige opbrengsten;100;100;100;100;100;100;100;100;100;100;100
Bruine bonen;Gewas overige opbrengsten;100;100;100;100;100;100;100;100;100;100;100
Cichorei;Gewas overige opbrengsten;100;100;100;100;100;100;100;100;100;100;100
Consumptieaardappelrassen hoge norm;Gewas overige opbrengsten;100;100;100;100;100;100;100;100;100;100;100
Consumptieaardappelrassen overig;Gewas overige opbrengsten;100;100;100;100;100;100;100;100;100;100;100
Consumptieaardappelrassen lage norm;Gewas overige opbrengsten;100;100;100;100;100;100;100;100;100;100;100
Conservenerwten;Gewas overige opbrengsten;100;100;100;100;100;100;100;100;100;100;100
Zetmeelaardappelen;Gewas overige opbrengsten;100;100;100;100;100;100;100;100;100;100;100
Geen;Gewas overige opbrengsten;100;100;100;100;100;100;100;100;100;100;100
Grasland met beweiden;Gewas overige opbrengsten;100;100;100;100;100;100;100;100;100;100;100
Grasland met volledig maaien;Gewas overige opbrengsten;100;100;100;100;100;100;100;100;100;100;100
Graszaad. Engels raaigras. 1e jaars;Gewas overige opbrengsten;100;100;100;100;100;100;100;100;100;100;100
Graszaad. roodzwenkgras. 1e jaars;Gewas overige opbrengsten;100;100;100;100;100;100;100;100;100;100;100
Graszaad. rietzwenkgras;Gewas overige opbrengsten;100;100;100;100;100;100;100;100;100;100;100
Graszaad. veldbeemd;Gewas overige opbrengsten;100;100;100;100;100;100;100;100;100;100;100
Graszaad. westerwolds;Gewas overige opbrengsten;100;100;100;100;100;100;100;100;100;100;100
Groene erwten;Gewas overige opbrengsten;100;100;100;100;100;100;100;100;100;100;100
Haver;Gewas overige opbrengsten;100;100;100;100;100;100;100;100;100;100;100
Kapucijners;Gewas overige opbrengsten;100;100;100;100;100;100;100;100;100;100;100
Karwijzaad;Gewas overige opbrengsten;100;100;100;100;100;100;100;100;100;100;100
Knolselderij;Gewas overige opbrengsten;100;100;100;100;100;100;100;100;100;100;100
Koolzaad;Gewas overige opbrengsten;100;100;100;100;100;100;100;100;100;100;100
Korrelmaïs;Gewas overige opbrengsten;100;100;100;100;100;100;100;100;100;100;100
Kunstweide;Gewas overige opbrengsten;100;100;100;100;100;100;100;100;100;100;100
Luzerne;Gewas overige opbrengsten;100;100;100;100;100;100;100;100;100;100;100
Natuur. faunarand;Gewas overige opbrengsten;100;100;100;100;100;100;100;100;100;100;100
Natuur. akkerflora;Gewas overige opbrengsten;100;100;100;100;100;100;100;100;100;100;100
Akkerbouw overig;Gewas overige opbrengsten;100;100;100;100;100;100;100;100;100;100;100
Ov. tuinbouw;Gewas overige opbrengsten;100;100;100;100;100;100;100;100;100;100;100
Ui. zaaiui. overig;Gewas overige opbrengsten;100;100;100;100;100;100;100;100;100;100;100
Winterui. 2e jaars plantui;Gewas overige opbrengsten;100;100;100;100;100;100;100;100;100;100;100
Pootaardappelrassen hoge norm;Gewas overige opbrengsten;100;100;100;100;100;100;100;100;100;100;100
Pootaardappelrassen overig;Gewas overige opbrengsten;100;100;100;100;100;100;100;100;100;100;100
Pootaardappelrassen lage norm;Gewas overige opbrengsten;100;100;100;100;100;100;100;100;100;100;100
Prei;Gewas overige opbrengsten;100;100;100;100;100;100;100;100;100;100;100
Winterrogge;Gewas overige opbrengsten;100;100;100;100;100;100;100;100;100;100;100
Schorseneer;Gewas overige opbrengsten;100;100;100;100;100;100;100;100;100;100;100
Snijmaïs. bedrijven met derogatie;Gewas overige opbrengsten;100;100;100;100;100;100;100;100;100;100;100
Snijmaïs. bedrijven zonder derogatie;Gewas overige opbrengsten;100;100;100;100;100;100;100;100;100;100;100
Spinazie;Gewas overige opbrengsten;100;100;100;100;100;100;100;100;100;100;100
Spruitkool;Gewas overige opbrengsten;100;100;100;100;100;100;100;100;100;100;100
Stam-. stokboon. vers;Gewas overige opbrengsten;100;100;100;100;100;100;100;100;100;100;100
Suikerbieten;Gewas overige opbrengsten;100;100;100;100;100;100;100;100;100;100;100
Triticale;Gewas overige opbrengsten;100;100;100;100;100;100;100;100;100;100;100
Tuinbonen;Gewas overige opbrengsten;100;100;100;100;100;100;100;100;100;100;100
Valeriaan;Gewas overige opbrengsten;100;100;100;100;100;100;100;100;100;100;100
Veld- en tuinbonen. vers + rijp zaad;Gewas overige opbrengsten;100;100;100;100;100;100;100;100;100;100;100
Vlas;Gewas overige opbrengsten;100;100;100;100;100;100;100;100;100;100;100
Voederbieten;Gewas overige opbrengsten;100;100;100;100;100;100;100;100;100;100;100
Waspeen;Gewas overige opbrengsten;100;100;100;100;100;100;100;100;100;100;100
Wintergerst;Gewas overige opbrengsten;100;100;100;100;100;100;100;100;100;100;100
Winterpeen;Gewas overige opbrengsten;100;100;100;100;100;100;100;100;100;100;100
Wintertarwe;Gewas overige opbrengsten;100;100;100;100;100;100;100;100;100;100;100
Witlof;Gewas overige opbrengsten;100;100;100;100;100;100;100;100;100;100;100
Witte bonen;Gewas overige opbrengsten;100;100;100;100;100;100;100;100;100;100;100
