//Le 19/08/10;modifié 853;;;;;
//;;;;;;
//;;;;;;
//;;;;;;
//;;;;;;
//;;;;;;
//;;;;;;
//AgriAtelierMargeFrm;;;;;;
//Programme; Variable; Français; English; Espanol; Nederlands; Portugues 
AgriSaisieFrm;L_EmpLT;Long Terme;Long Term;Largo plazo;Lange termijn;Longo prazo
AgriSaisieFrm;L_EmpSom;Finances Global;Total Finances;Total Finanzas ;Globale Financiën;Financas globais
AgriSaisieFrm;L_EouP;E/P;F/p;E/P;B/P;E/P
AgriSaisieFrm;L_Err;ERREUR;ERROR;ERROR;FOUT;ERRO
AgriSaisieFrm;L_ErrAm;Durée Amortissement >50 !!;Depreciation duration >50 !!;Duracion depreciación >50 !!;Afschrijvingstermijn >50 !!;Duracao da amortizacao >50!!
AgriSaisieFrm;L_ErrArrach;ligne n°:%2d Arrachage AVANT Plantation ;line n°:%2d Uprooting BEFORE Planting ;linea nº:%2d Arranque antes de plantación;lijn n°:%2d Wieden VOORAF AAN planten;Linha n°:%2d Divisao ANTES do plantio
AgriSaisieFrm;L_ErrDateAn;Erreur sur la date Seulement l'année !;Error on the date Only the year !;Error en la fecha Solo el año!;Foutmelding op datum Alleen het jaar;Erro de data Somente o ano !
AgriSaisieFrm;L_ErrDurSup50;ligne n°:%2d Durée supérieure à 50 ans;line n°:%2d Duration greater than 50 years;linea nº:%2d Duración superior a 50 años;lijn n°:%2d Looptijd langer dan 50 jaar;Linha n°:%2d Duracao superior a 50 anos
AgriSaisieFrm;L_ErrDurTropL;ligne n°:%2d Durée trop longue ;line n°:%2d Time length too long;linea nº:%2d Duración demasiado larga;lijn n°:%2d Tijdsduur te lang ;Linha n°:%2d Duracao muito longa
AgriSaisieFrm;L_ErrEmpDur;Durée Emprunt >50 !!;Loan duration >50 !!;Duración prestamo >50 !!;Looptijd lening >50 !!;Duracao do emprestimo >50 !!
AgriSaisieFrm;L_ErrIntCal;Le montant des interets est calculé !!;The amount of interest is computed !!;La cantidad de intereses se calcula!!;Het bedrag aan rente wordt berekend;Os juros foram calculados
AgriSaisieFrm;L_ErrIntEmpCT;ligne n°:%2d Intérêts Non précomptés N par defaut;line n°:%2d Interests Not deducted N by default;linea nº:%2d Intereses No deducidos N por defecto;lijn n°:%2d Renten niet afgeleid N voorgedefinieerd;Linha n°:%2d Juros nao dedutiveis N por padrao
AgriSaisieFrm;L_ErrPasDate;ligne n°:%2d Pas de date ;line n°:%2d No date;linea nº:%2d No tiene fecha;lijn n°:%2d Geen datum;Linha n°:%2d Sem data
AgriSaisieFrm;L_ErrPasDateAchat;ligne n°:%2d Pas de date d'achat;line n°:%2d No buying date;linea nº:%2d No tiene fecha de compra;lijn n°:%2d Geen aankoopdatum;Linha n°:%2d Sem data de compra
AgriSaisieFrm;L_ErrPasDatePlant;ligne n°:%2d Pas de date de plantation ;line n°:%2d No planting date ;linea nº:%2d No tiene fecha de plantación;lijn n°:%2d Geen plantdatum ;Linha n°:%2d Sem data de plantio
AgriSaisieFrm;L_ErrPasDateReal;ligne n°:%2d Pas de date de réalisation ;line n°:%2d No Implementation date;linea nº:%2d No tiene fecha de realización;lijn n°:%2d Geen datum van realisatie;Linha n°:%2d Sem data de implementacao
AgriSaisieFrm;L_ErrPasDateRembEmp;ligne n°:%2d Pas de date de remboursement ;line n°:%2d No reimbursment date;linea nº:%2d No tiene fecha de reembolso;lijn n°:%2d Geen datum van aflossing;Linha n°:%2d Sem data de reembolso
AgriSaisieFrm;L_ErrPasDateTerme;ligne n°:%2d Pas de date de terme;line n°:%2d No date of duration;linea nº:%2d No tiene fecha de duración;lijn n°:%2d Geen looptijd;Linha n°:%2d Sem data final
AgriSaisieFrm;L_ErrPasDur2;ligne n°:%2d Pas de Durée 2;line n°:%2d No Duration 2;linea nº:%2d No tiene duración 2;lijn n°:%2d Geen Looptijd 2;Linha n°:%2d Sem duracao 2
AgriSaisieFrm;L_ErrPasDurAmor;ligne n°:%2d Pas de durée d'amortissement;line n°:%2d No duration for depreciation;linea nº:%2d No tiene duración de amortización;lijn n°:%2d Geen afschrijvingsduur;Linha n°:%2d Sem periodo de amortizacao
AgriSaisieFrm;L_ErrPasDuree;ligne n°:%2d Pas de Durée;line n°:%2d No Duration;linea nº:%2d No tiene duración;lijn n°:%2d Geen Looptijd;Linha n°:%2d Sem duracao
AgriSaisieFrm;L_ErrPasEPEmp;ligne n°:%2d Entreprise ou Privé E par defaut;line n°:%2d Farm or Private F by default;linea nº:%2d Empresa o Privado por defecto;lijn n°:%2d Onderneming of Privé E voorgedefinieerd;Linha n°:%2d Fazenda E privado por padrao
AgriSaisieFrm;L_ErrPasImmo;Pas d'Immobilisation à reporter;No Fixed Assets to copy;Ninguna inmobilización a copiar;Geen vaste activa om te kopieren;Sem imobilizacao a relatar
AgriSaisieFrm;L_ErrPasMontant;ligne n°:%2d Pas de Montant;line n°:%2d No Amount;linea nº:%2d No tiene cantidad;lijn n°:%2d Geen Bedrag;Linha n°:%2d Sem montante
AgriSaisieFrm;L_ErrPasNom;ligne n°:%2d Pas de NOM ;line n°:%2d No NAME ;linea nº:%2d No tiene NOMBRE;lijn n°:%2d Geen NAAM ;Linha n°:%2d Sem NOME
AgriSaisieFrm;L_ErrPasSurf;Pas de surface ;No area;Ninguna superficie;Geen oppervlakte;Sem area
AgriSaisieFrm;L_ErrPasTaux;ligne n°:%2d Pas de Taux;line n°:%2d No Rate;linea nº:%2d No tiene Tasa;lijn n°:%2d Geen tarief;Linha n°:%2d Sem taxa
AgriSaisieFrm;L_ErrPasTaux2;ligne n°:%2d Pas de Taux 2;line n°:%2d No Rate 2;linea nº:%2d No tiene Tasa 2;lijn n°:%2d Geen Tarief 2;Linha n°:%2d Sem taxa 2
AgriSaisieFrm;L_ErrPasTypAmor;ligne n°:%2d Pas de type d'amortissement;line n°:%2d No type of depreciation;linea nº:%2d No tiene tipo de amortización;lijn n°:%2d Geen afschrijvingstype;Linha n°:%2d Sem tipo de amortizacao
AgriSaisieFrm;L_ErrPasTypEmp;ligne n°:%2d Pas de Type CA par défaut;line n°:%2d No CA Type by default;linea nº:%2d No tiene tipo de CA por defecto;lijn n°:%2d Geen CA Type voorgedefinieerd;Linha n°:%2d Sem tipo CA por padrao
AgriSaisieFrm;L_ErrPasVal;ligne n°:%2d Pas de Valeur;line n°:%2d No Value;linea nº:%2d No tiene valor nuevo;lijn n°:%2d Geen waarde;Linha n°:%2d Sem valor
AgriSaisieFrm;L_ErrPasValNeuf;ligne n°:%2d Pas de Valeur à neuf;line n°:%2d No Value for new;linea nº:%2d No tiene valor nuevo;lijn n°:%2d Geen nieuwwaarde;Linha n°:%2d Sem valor para novos
AgriSaisieFrm;L_ErrPbDate;ligne n°:%2d Problème de date;line n°:%2d Problem with date;linea nº:%2d Problema con la fecha;line n°:%2d Problemen met datum;Linha n°:%2d Problema de data
AgriSaisieFrm;L_ErrRepImpo;Report impossible dans cette colonne;Copy not allowed in this column;Imposible copiar en esta columna;Kopieren niet mogelijk in deze kolom;Copia impossivel nesta coluna
AgriSaisieFrm;L_ErrSub;Durée Subvention >50 !!;Grant duration >50 !!;Duración subvención >50 !!;Looptijd subsidie >50 !!;Duracao do subsidio >50!!
AgriSaisieFrm;L_ErrTypePlact;ligne n°:%2d Pas de Type AF A défaut;line n°:%2d No Type AF A default;linea nº:%2d No tipo AF A por defecto;lijn n°:%2d Geen Soort AF A voorgedefinieerd;Linha n°:%2d Sem tipo AF A por padrao
AgriSaisieFrm;L_EvolStock;Evolution des Stocks;Evolution of Stocks;Evolución del Stock;Ontwikkeling veestapel;Evolucao do estoque
AgriSaisieFrm;L_ExtNeg;Externalités Négatives;Negative Externalities;Externalidades negativas;Negatieve omgevingseffecten;Externalidades negativas
AgriSaisieFrm;L_ExtPos;Externalités Positives;Positive Externalities;Externalidades positivas;Positieve omgevingseffecten;Externalidades positivas
AgriSaisieFrm;L_Immo;Inventaires;Stocklist;Inventario;Inventaris;Inventário
AgriSaisieFrm;L_ImmoRap;Immobilisation Global;Total Loans for Fixed Assets;Inmobilizacion total;Globale leningen voor vaste activa;Imobilizacao global
AgriSaisieFrm;L_Impo;IMPOSSIBLE;IMPOSSIBLE;IMPOSIBLE;ONMOGELIJK;IMPOSSIVEL
AgriSaisieFrm;L_IntCT;Intérêt CT;ST Interest;Interes CP;Rente KT;Juros CP
AgriSaisieFrm;L_IntLT;Intérêt LT;LT Interest;Interes LP;Rente LT;Juros LP
AgriSaisieFrm;L_JeffToutQ;j'efface tout ?;Do I delete all?;Debo borrar todo?;Verwijder ik alles?;Apago tudo?
AgriSaisieFrm;L_JeffToutT;EFFACER TOUT LE TABLEAU;DELETE ALL SHEET;BORRAR TODA LA TABLA;VERWIJDER ALLE BLADEN;APAGAR TOTA A TABELA
AgriSaisieFrm;L_JQuit; Je quitte cet agriculteur. Vous êtes sur ?; Do you really want to leave this farmer?;Estad usted seguro de salir de este agricultor?;Weet u zeker dat u deze landbouwer wilt verlaten?;Voce tem certeza de que quer deixar esse agricultor?
AgriSaisieFrm;L_LesAteliers;Les ateliers:;Farming Systems:;Las actividades;Bedrijfsactiviteiten;Sistemas de cultura
AgriSaisieFrm;L_LiNonSup; Ligne NON supprimable?; Line NOT Removable?;Linea no suprimible?;Lijn NIET verwijderbaar?;Linha nao removivel
AgriSaisieFrm;L_LiSupQ; Je supprime la ligne. Vous êtes sur ?; Do you really want to delete the line?;Esta usted seguro de suprimir esta línea?;Weet u zeker dat u deze lijn wilt verwijderen?;Voce te certeza de que quer suprimir essa linha?
AgriSaisieFrm;L_LT;Long Terme;Long Term;Largo plazo;Lange termijn;Longo prazo
AgriSaisieFrm;L_Modifie;modifié;modified;modificado;aangepast;Modificado
AgriSaisieFrm;L_MoinsVal;Moins Value;Capital loss;Perdida de valor;Kapitaalverlies;Menos valor
AgriSaisieFrm;L_Montant;Montant;Amount;Cantidad;Bedrag;Montante
AgriSaisieFrm;L_MotCle;Mot Cle;Key word;Palabra clave;Sleutelwoord;Palavra chave
AgriSaisieFrm;L_Moy;Moy;Average;Media;Gemiddelde;Media
AgriSaisieFrm;L_Mvt;Mouvement des Animaux;Movement of Animals;Movimiento de los animales;Verloop van dieren;Movimentacao de animais
AgriSaisieFrm;L_Nom;NOM;NAME;NOMBRE;NAAM;NOME
AgriSaisieFrm;L_NouvCT;Nouveau CT;ST new;Nuevo CP;Nieuw KT;Novo CP
AgriSaisieFrm;L_NouvLT;Nouveau LT;LT New;Nuevo LP;Nieuw LT;Novo LP
AgriSaisieFrm;L_Occc;Ouverture de Crédit;OverDraft;Crédito al descubierto;Kredietovereenkomst;Abertura de credito
AgriSaisieFrm;L_PasDon;Aucune Donnée à introduire;No Data to input;Ningun dato a introducir;Geen gegevens om in te voeren;Nenhum dado a indtroduzir
AgriSaisieFrm;L_PasDonAInt;Aucune Donnée à introduire;No Data to input;No introducir ningun dato;Geen gegevens om in te voeren;Nenhum dado a indtroduzir
AgriSaisieFrm;L_PasProd;Aucun Produit !!;No Product !!;Ningun Producto!!;Geen product !!;Nunhum produto !!
AgriSaisieFrm;L_Passe;PASSE;PAST;PASADO;OVERSLAAN;PASSADO
AgriSaisieFrm;L_Perenne;Pérennes;Tree crops;Perennes;Blijvende teelten;Perenes
AgriSaisieFrm;L_Petit;Petit Matériel;Small Equipment;Material pequeño;Klein materiaal;Pequenos materiais
AgriSaisieFrm;L_Plact;Placements;Investments;Inversion;Belegging;Investimentos
AgriSaisieFrm;L_Pluri;Pluriannuelles;Perennials;Plurianuales;Meerjarige Gewassen;Plurianuais
AgriSaisieFrm;L_PlusVal;Plus Value;Surplus;Aumento de valor;Meerwaarde;Mais valor
AgriSaisieFrm;L_PolStock;Politique de stockage;Storage Policy;Politica de almacenamiento;Voorraadbeheer;Politica de estocagem
AgriSaisieFrm;L_PrixRevient;Prix Revient;Cost Price;Precio de coste;Kostprijs;Preco de custo
AgriSaisieFrm;L_ProdImmo;Production d'Immo;Fixed assets Production;Producción de Inmo;Productie Vaste Activa;Producao de Imob
AgriSaisieFrm;L_Produit;Produits;Products;Productos;Producten;Produtos
AgriSaisieFrm;L_QuitAgri; Je quitte cet agriculteur. Vous êtes sur ?; Do you really want to leave this farmer?;Esta usted seguro de salir de este agricultor?;Weet u zeker dat u deze landbouwer wilt verlaten?;Voce tem certza de que quer deixar esse agricultor?
AgriSaisieFrm;L_Real;Réalisation;Implementation;Realización;Implementatie;Realizacao
AgriSaisieFrm;L_RecDiv;Recettes Diverses;Misc Revenues;Ingresos varios;Diverse inkomsten;Receitas diversas
AgriSaisieFrm;L_RecPriv;Recettes Privées;Private Revenues;Ingresos privados;Privé inkomsten;Receitas privadas
AgriSaisieFrm;L_Remb;Remboursement;Refund;Rembolso;Aflossing;Reembolso
AgriSaisieFrm;L_RembCapCT;Remb Capital CT;ST Refund;Rembolso Capital CP;ST Aflossing;Reemb Capital CP
AgriSaisieFrm;L_RembCapLT;Remb Capital LT;LT Refund;Rembolso Capital LP;LT Aflossing;Reemb Capital LP
AgriSaisieFrm;L_ResDe;résultats de  ;results from;resultados de ;resultaten van;resultados de
AgriSaisieFrm;L_Revente;Revente;Sold;Reventa;Doorverkoop;Revenda
AgriSaisieFrm;L_StockIni;Stocks initiaux;Initial Stocks;Existencias iniciales;Beginvoorraden;Estoque inicial
AgriSaisieFrm;L_Stocks;Stocks;Stocks;Existencias;Voorraden;Estoques
AgriSaisieFrm;L_Sub;Subventions;Grants;Subvenciones;Subsidies;Subsideos
AgriSaisieFrm;L_Sup;SUPPRESSION;DELETION;SUPRESIÓN;VERWIJDERING;SUPRESSAO
AgriSaisieFrm;L_Surface;Surface;Area;Area;Oppervlakte;Area
AgriSaisieFrm;L_Taux1;Taux 1;Rate 1;Tasa 1;Tarief 1;Taxa 1
AgriSaisieFrm;L_Taux2;Taux 2;Rate 2;Tasa 2;Tarief 2;Taxa 2
AgriSaisieFrm;L_TitreCrDette;.,.,PRODUIT,Valeur,Paiement;.,.,PRODUCT,Value,Payment;.,.,PRODUCTO,Valor, Pago;.,.,PRODUCT,Waarde,Betaling;.,.,PRODUTO,Valor,Pagamento
AgriSaisieFrm;L_TitreEmp;.,.,EMPRUNTS,Montant,Taux,Type,Réalisation,Remboursement,E/P;.,.,LOANS,Amount,Rate,Type,Implementation,Reimbursment,F/p;.,.,PRESTAMOS,Cantidad,Tasa,Tipo,Realización, Reembolso,E/P;.,.,LENINGEN,Bedrag,Tarief,Soort,Implementatie,Aflossing,B/P;.,.,EMPRESTIMOS,Montante,Taxa,Tipo,Réalisation,Reembolso,E/P
AgriSaisieFrm;L_TitreImmo;.,.,IMMOBILISATION,V_Achat,Date,Type_Amor,Durée_Amor,TVA,V_Vente,Date;.,.,FIXED_ASSETS,Purchase_Val,Date,Deprec_Type,Deprec_length,VAT,Sale_Val,Date;.,.,INMOBILIZACIÓN,V_Compra,Fecha, Tipo_Amor,Duración_Amor,IVA,V_Venta,Fecha;.,.,VASTE_ACTIVA,W_Aankoop,Datum,Soort_afschrijving,Duur_afschrijving,BTW,W_Verkoop,Datum;.,.,IMOBILIZACAO,V_Compra,Data,Tipo_Amor,Duracao_Amor,VAT,V_Venda,Data
AgriSaisieFrm;L_TitreOccc;Exercice,Montant,%Consommé,Taux,Frais;Year,Amount,%Spent,Rate,Costs;Año_fiscal,Cantidad,%Gastado,Tasa,Costos;Boekjaar,Bedrag,%Besteed,Tarief,Kosten;Exercicio,Montante,%Consido,Taxa,Custos
AgriSaisieFrm;L_TitrePasse;Famille,Categorie,Nom;Family,Category,Name;Familia,Categoria,Nombre;Familie,Categorie,Naam;Familia,Categoria,Nome
AgriSaisieFrm;L_TitrePer;.,.,Nom,Espèce,Surface,Plantation,Arrachage;.,.,Name,Species,Area,Planting,Uprooting;.,.,Nombre,Especie,Superficie,Plantación,Arranque;.,.,Naam,Soort,Oppervlakte,Planten,Wieden;.,.,Nome,Especie,Area,Plantacao,Destoca
AgriSaisieFrm;L_TitrePetit;.,.,Exercice,Valeur,TVA;.,.,Year,Value,VAT;.,.,Año fiscal,Valor,IVA;.,.,Boekaar,Waarde,BTW;.,.,Exercicio,Valor,VTA
AgriSaisieFrm;L_TitrePlact;.,.,PLACEMENTS,Montant,Taux,Type,Réalisation,Terme,E/P;.,.,INVESTMENTS,Amount,Rate,Type,Implementation,Period,F/p;.,.,INVERSIÓN,Cantidad,Tasa,Tipo,Realización,Plazo,E/P;.,.,BELEGGINGEN,Bedrag,Koers,Soort,Implementatie,Termijn,B/P;.,.,INVESTIMENTOS,Montante,Taxa,Tipo,Réalisation,Periodo,E/P
AgriSaisieFrm;L_TitrePolStock;.,Produit,Prix,Unité,%Stocké,Maxi_Stockable,%Augmentation_Prix,%Décote;.,Product,Price,Unit,%Stored,Maxi_Stock_cap,%Price_increase,%Depreciation;.,Producto,Precio,Unidad,%Almacenado,Max_Almacenable,%Aumento_precio,%Depreciación;.,Product,Prijs,Eenheid,%opgeslagen,Maximale_opslagcapaciteit,%Prijsstijging,%Afschrijving;.,Produto,Preco,Unidade,%Estoque,Maxi_Estocavel,%Aumento_Precos,%Depreciacao
AgriSaisieFrm;L_TitreSub;.,.,SUBVENTION,Montant,Date,Durée;.,.,SUBVENTION,Amount,Date,Duration;.,.,SUBVENCIÓN,Cantidad,Fecha,Duración;.,.,SUBSIDIE,Bedrag,Datum,Duur;.,.,SUBSIDIO,Montante,Data,Duracao
AgriSaisieFrm;L_TitreViv;.,.,NOM,Catégorie,Surface,Plantation,Durée;.,.,NAME,Category,Area,Planting,Duration;.,.,NOMBRE,Categoria,Superficie,Plantación,Duración;.,.,NAAM,Categorie,Oppervlakte,Planten,Looptijd;.,.,NOME,Categoria,Area,Plantacao,Duracao
AgriSaisieFrm;L_Total;TOTAL;TOTAL;TOTAL;TOTAAL;TOTAL
AgriSaisieFrm;L_Tva;TVA;VAT;IVA;BTW;IVA
AgriSaisieFrm;L_Type;Type;Type;Tipo;Type;Tipo
AgriSaisieFrm;L_V_Resid;V. Résiduelle;Residual value;V. Residual;Restwaarde;V. Residual
AgriSaisieFrm;L_Variable;Variables;Variables;Variables;Variabelen;Variaveis
AgriSaisieFrm;L_Vente;Vente;Sale;Venta;Verkoop;Venda
//;;;;;;
//;;;;;;
//;;;;;;
//AleaPrixFrm;;;;;;
//Programme; Variable; Français; English; Espanol; Nederlands; Portugues 
AleaPrixFrm;L_Base;Base;Basis;Base;Basis;Base
AleaPrixFrm;L_Cat;Catégorie;Category;Categoria;Categorie;Categoria
AleaPrixFrm;L_SupLiQ; Je supprime la ligne. Vous êtes sur ?; Do you really want to delete the line?;Esta usted seguro de suprimir esta línea?;Weet u zeker dat u deze lijn wilt verwijderen?;Voce tem certeza de que quer apagar a linha?
AleaPrixFrm;L_SupT;SUPPRESSION;DELETION;SUPRESIÓN;VERWIJDERING;APAGANDO
//;;;;;;
//;;;;;;
//;;;;;;
//AssolFrm;;;;;;
//Programme; Variable; Français; English; Espanol; Nederlands; Portugues 
AssolFrm;L_Assol;Surface Cultivée;Total Cropped Area;Superficie Cultivada;Totale Oppervlakte met Gewassen;Area cultivada
AssolFrm;L_Culture;CULTURES;CROPS;CULTIVOS;GEWASSEN;CULTURAS
AssolFrm;L_Derobee;DEROBEES;SECONDARY CROPS;CULTIVOS SECUNDARIOS;NAGEWASSEN;CULTURAS SECUNDARIAS
AssolFrm;L_Perenne;PERENNE;TREE CROP;Perennes;Blijvende teelt;PERENE
AssolFrm;L_Pluri;PLURIANNUELLE;PERENNIALS;PLURIANUALES;MEERJARIGE GEWASSEN;PLURIANUAIS
AssolFrm;L_Total;TOTAL;TOTAL;TOTAL;TOTAAL;TOTAL
AssolFrm;L_TotCulture;total cultures;total crops;Total cultivos;totaal gewassen;total culturas
AssolFrm;L_TotDerobee;total derobées;total secondary crops;Total cultivos secundarios;totaal nagewassen;total culturas secundarias
AssolFrm;L_TotPerenne;total pérennes;total tree crops;Total perennes;totaal blijvende teelten;total perenes
AssolFrm;L_TotPluri;total PluriAnnuelles;total Perennials;Total plurianuales;totaal meerjarige gewassen;total plurianuais
//;;;;;;
//;;;;;;
//;;;;;;
//AtelierFrm;;;;;;
//Programme; Variable; Français; English; Espanol; Nederlands; Portugues 
AtelierFrm;L_Avant1;Avant_1;Before_1;Antes_1;Voor_1;Antes_1
AtelierFrm;L_Derobe;Dérobé; Secondary crop;Cultivo secundario;Nagewassen;Cultura secundaria
AtelierFrm;L_SupQ; Je supprime Vous êtes sur ?;Do you really want to delete?;Estad usted seguro de suprimir?;Weet u zeker dat u wilt verwijderen?;Voce tem certeza de que quer apagar?
AtelierFrm;L_SupT;SUPPRESSION;DELETION;SUPRESIÓN;VERWIJDERING;APAGANDO
AtelierFrm;L_TitreProduit;.,.,Nom,Categorie,Unité;.,.,Name,Category,Unit;.,.,Nombre,Categoria,Unidad;.,.,Naam,Categorie,Eenheid;.,.,Nome,Categoria,Unidade
AtelierFrm;L_TitreVol;.,.,PRODUIT,Unité,APPRO,Unité;.,.,Output,Unit,Input,Unit;.,.,PRODUCTO,Unidad,Input,Unidad;.,.,PRODUCT,Eenheid,INPUT,Eenheid;.,.,PRODUTO,Unidade,ENTRANTE,Unidade
AtelierFrm;L_Ent;Par l'entreprise;By the farm;Por la empresa;Landbouwbedrijf;exploração agrícola
AtelierFrm;L_Fam;Par la famille;By the family;Por la familia;Familie;Familia
AtelierFrm;L_Repro;Reproducteur;Breeder;Reproductores;Ouderdier;Reprodutor
AtelierFrm;L_Autre;Autre;Other;Otro;Andere;Outro
//;;;;;;
//;;;;;;
//;;;;;;
//AtelierMargeFrm;;;;;;
//Programme; Variable; Français; English; Espanol; Nederlands; Portugues 
AtelierMargeFrm;L_Charge;Charges;Expenses;Costos;Uitgaven;Encargos
AtelierMargeFrm;L_ChVol;Charges Volume;Expenses Volume;Costos Volumen;Uitgaven hoeveelheid;Volume de encargos
AtelierMargeFrm;L_Marge;Marge;Margin;Margen;Marge;Margem
AtelierMargeFrm;L_MargeCum;Marge Cumulée;Total Margin;Margen total;Totale marge;Margem acumulada
AtelierMargeFrm;L_Moy;Moyenne;Average;Media;Gemiddelde;Media
AtelierMargeFrm;L_Prod;Produits;Products;Productos;Producten;Produtos
AtelierMargeFrm;L_Tot;Total;Total;Total;Totaal;Total
//;;;;;;
//;;;;;;
//;;;;;;
//AtelierMDetailFrm;;;;;;
//Programme; Variable; Français; English; Espanol; Nederlands; Portugues 
AtelierMDetailFrm;L_AvtQuant;Avant Quant;Before_1 Quant;Antes Cantidad;Vooraf hvh;Antes Quant
AtelierMDetailFrm;L_Besoins;Besoins;Needs;Necesidades;Behoeften;Necessidade
